,Station_ID,Station_name,Latitude,Longitude,Ville,Pays
330,ES1304A,ES1304A-ABELLEIRA (C-8),43.415836,-7.736945,XERMADE,ES
331,ES1305A,ES1305A-VILARIÑO (D-6),43.261665,-7.878334,GUITIRIZ,ES
332,ES1306A,ES1306A-SOBREIRA,43.033890,-8.426397,ORDES,ES
333,ES1307A,ES1307A-PARAXÓN,43.173889,-8.188333,CESURAS,ES
334,ES1309A,ES1309A-CAMPO DE FÚTBOL,42.910000,-8.500280,SANTIAGO DE COMPOSTELA,ES
335,ES1310A,ES1310A-AK-PARDINES,42.313611,2.220000,PARDINES,ES
336,ES1311A,ES1311A-AV-BEGUR,41.960000,3.214444,BEGUR,ES
337,ES1312A,ES1312A-AS-TARRAGONA,41.105000,1.202222,TARRAGONA,ES
338,ES1320A,ES1320A-MATADERO,43.580278,-5.926667,AVILÉS,ES
339,ES1328A,ES1328A-MARISMAS DEL TITÁN,37.252581,-6.942189,HUELVA,ES
340,ES1329A,ES1329A-PARQUE DE LOS JESUITAS,40.965279,-5.655833,SALAMANCA,ES
341,ES1333A,ES1333A-ISAAC PERAL,40.441113,-3.718333,MADRID,ES
